coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,quote_id,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_id,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Tue Jun 01 05:26:49 +0000 2021,,https://twitter.com/MarkonMarek/status/1399598285082476544/photo/1,,1,1399598285082476544,beata_skwarska,1399597895309987843,824152278806528000,pl,,false,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@beata_skwarska Warszawa 😀 https://t.co/W7BcySyuNd,https://twitter.com/MarkonMarek/status/1399598285082476544,Thu Oct 13 11:53:32 +0000 2016,786535339095650304,false,✌️#SilniRazem 🇵🇱🇪🇺Wolna Polska bez PiS Urodzony w Warszawie Nigdy więcej mafii PiS  😡,271569,1468,1950,7,"Warszawa, Polska",MarKon#SilniRazem ***** ***✌️✌️✌️✌️✌️,MarkonMarek,85125,,,false
,Tue Jun 01 04:15:56 +0000 2021,,,,0,1399580447902994435,,,,pl,,,,16,1399298106722852864,21lupus,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Nieznani sprawcy podpalili kapliczkę nadrzewną znajdującą się na warszawskim Grochowie (ul. Podskarbińska w pobliżu ulicy Kobielskiej).  https://t.co/4BjvKx3FlM,https://twitter.com/21lupus/status/1399580447902994435,Sun May 07 09:55:46 +0000 2017,861157601962283008,false,"FIDES et RATIO - w tym realizuje
się pełnia człowieczeństwa PRAWICA",75973,9384,4615,17,,Józef Nowacki,21lupus,74846,,,false
,Tue Jun 01 04:47:19 +0000 2021,,,https://ift.tt/3yTNxU8,1,1399588347358633987,,,,pl,,false,,0,,,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",⚠️ Utrudnienia w komunikacji: L20 https://t.co/DXAKboKzf5,https://twitter.com/WTP_Warszawa/status/1399588347358633987,Wed Aug 28 13:39:39 +0000 2013,1707334088,false,Warszawski Transport Publiczny - oficjalny profil prowadzony przez Zarząd Transportu Miejskiego,1841,30608,105,140,"Warszawa, Polska",WTP Warszawa,WTP_Warszawa,35367,,http://www.wtp.waw.pl,false
,Tue Jun 01 05:47:47 +0000 2021,,,,0,1399603562343194625,LukaszKohut,1399474538082144263,426773410,pl,,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@LukaszKohut @moanrosa @LincaAgata @jan_jozef_lubos @RafRepRzep @Arnold40146625 @Mateusz_Kubis @wojciech_zo @JozefPorwolDURS @piotrsobik Mówi pan że Warszawa w dialekcie śląskim języka polskiego to Warschau? Aha, naprawdę?",https://twitter.com/m3_ememem/status/1399603562343194625,Mon Mar 20 19:25:17 +0000 2017,843906307853836290,false,"my pronouns: unicorn/unicorny

lol ITOps

Arrogance is just a lack of interference in the world around us. 
🥸",92930,688,1374,13,,marcin (m³) 🇵🇱,m3_ememem,68546,,,false
,Tue Jun 01 05:03:08 +0000 2021,WspieramyRodziny DzieńDziecka,https://twitter.com/j_wisniewska/status/1399592325324619780/photo/1,http://m.in,54,1399592325324619780,,,,pl,,false,,5,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Dzieci to największy skarb, o który musimy dbać 👨‍👩‍👧‍👦🐻🍭🍬🍦 #WspieramyRodziny 
Dużo radości nie tylko z okazji #DzieńDziecka 🙂 Warszawa 2011, na zdjęciu https://t.co/S1IoJuhtiL. Franio - dziś ma 10 lat 🙂 https://t.co/1YYQPTz1le",https://twitter.com/j_wisniewska/status/1399592325324619780,Tue Feb 22 10:12:07 +0000 2011,255941995,false,"MEP Poland, Poseł do Parlamentu Europejskiego, Prawo i Sprawiedliwość",4226,23054,678,233,"województwo śląskie, PL",Jadwiga Wiśniewska,j_wisniewska,10483,,http://www.jadwigawisniewska.pl,true
,Tue Jun 01 04:15:04 +0000 2021,,,,0,1399580232156291072,,,,pl,,,,33,1399428738304065546,joannaplotnicka,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Zbliża się 81 rocznica I Transportu do KL Auschwitz 14 czerwca 1940r. Społeczny Komitet 14 czerwca informuje, że 12 czerwca 2021, o godz. 13.00, ul. Nowogrodzka 27, Warszawa (Galeria Plakatu), City Poster  odbędzie się uroczysta inauguracja plakatu Pana Wojciecha Korkucia. https://t.co/eg2c3jnuKU",https://twitter.com/Likaifen/status/1399580232156291072,Sat Jul 04 01:05:53 +0000 2009,53552929,false,"#StopUkrainizacjiPolski
#StopBanderyzacjiPolski
#ŻebyPolskaByłaPolska",156271,1657,2302,9,Beijing,Renata Inokomis,Likaifen,76784,,,false
,Tue Jun 01 05:13:00 +0000 2021,,https://twitter.com/serhenryk/status/1399594808545480705/photo/1,,1,1399594808545480705,,,,pl,,false,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","1 czerwca 1895 urodził się Tadeusz Komorowski - żołnierz i polityk, generał dywizji, Naczelny Wódz Polskich Sił Zbrojnych, Komendant Główny Armii Krajowej, premier rządu RP na uchodźstwie. 

,,Gdybyśmy zachowali się zupełnie biernie, Warszawa nie uniknęłaby zniszczeń i strat.'' https://t.co/HaTE06Qn9b",https://twitter.com/serhenryk/status/1399594808545480705,Mon May 16 16:30:19 +0000 2016,732246812216721408,false,"⛪️, 🖌️,🎼, genetycznie Kresy, przypominam, komentuję niekiedy...

,,Sprawianie, by ktoś inny był szczęśliwy, jest jednym z najpiękniejszych uczuć.''",51340,1378,894,3,"Opolskie, Polska",henryk,serhenryk,34388,,,false
,Tue Jun 01 05:09:13 +0000 2021,,,,0,1399593858334347264,BIPolska,1399593188399009795,4869612250,pl,,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@BIPolska alez to brzydkie😐. Nijakie. Warszawa traci charakter i styl. Te wiezowce z betonu i szkla wszedzie na swiecie sa takie same. Deprecha i brzydota,https://twitter.com/bankiet_owa/status/1399593858334347264,Tue May 18 23:34:29 +0000 2021,1394798504409804800,false,"PO to zło =  ( 🏺🏺  🏺🏺  🏺🏺🏺)
Nic prawdziwego: Same zwidy i satyra.Sukienka Zien-Kreglicka. Edycja limitowana.",37279,900,1931,8,Warszawa,☕🍀OwA #3Kadencja,bankiet_owa,60633,,,false
,Tue Jun 01 06:14:26 +0000 2021,dzieci DzieńDziecka Warszawa Mazowsze,https://twitter.com/Warszawa_STAT/status/1399610269467394048/photo/1,https://bit.ly/3vFbjBr,30,1399610269467394048,,,,pl,,false,,22,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Pomimo malejącej liczby urodzeń w Warszawie, liczba #dzieci wzrasta. Wszystko za sprawą migracji do atrakcyjnej dla rodzin z dziećmi stolicy. https://t.co/NaRixsWTpo
 
Z okazji #DzieńDziecka najmłodszym mieszkańcom #Warszawa i #Mazowsze życzymy samych radości i spełnienia marzeń! https://t.co/JoLh9B5cbe",https://twitter.com/Warszawa_STAT/status/1399610269467394048,Wed May 10 08:40:22 +0000 2017,862225789105958913,false,Najnowsze informacje statystyczne o województwie mazowieckim i stolicy.,7869,1433,395,7,"Warszawa, Polska",Urząd Statystyczny,Warszawa_STAT,1540,,http://warszawa.stat.gov.pl/,false
,Tue Jun 01 03:52:47 +0000 2021,,,,0,1399574621830193157,arayoff,1399454925181095942,971329974094442500,pl,,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@arayoff warszawa,https://twitter.com/twojababkaa/status/1399574621830193157,Mon Dec 26 19:38:44 +0000 2016,813469112617861125,false,,558,0,49,0,Polska,babka,twojababkaa,7,,,false
